num|DIRECCION|CALLE|COMUNA|REGION
433|OBISPO FRANCISCO VALDES SUBERCASEAUX, 8372, PUDAHUEL, Metropolitana de Santiago|OBISPO FRANCISCO VALDES SUBERCASEAUX|PUDAHUEL|METROPOLITANA DE SANTIAGO
434|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1483, 34100359, ARICA, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
435|OSORNO, 4340, ANTOFAGASTA, Antofagasta|OSORNO|ANTOFAGASTA|ANTOFAGASTA
436|PENABLANCA, 88-B, CABILDO, Valparaíso|PENABLANCA|CABILDO|VALPARAISO
437|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1435, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
438|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1483, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
439|EUSEBIO PIZARRO, 175, PUNTA ARENAS, Magallanes y de la Antártica Chilena|EUSEBIO PIZARRO|PUNTA ARENAS|MAGALLANES Y DE LA ANTARTICA CHILENA
440|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1493, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
441|las tinajas, 930, ALGARROBO, Valparaíso|LAS TINAJAS|ALGARROBO|VALPARAISO
442|AVENIDA CORONEL SANTIAGO BUERAS, 15, 32701185, EL BOSQUE, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|EL BOSQUE|METROPOLITANA DE SANTIAGO
443|SAN RAFAEL, 1977, PADRE LAS CASAS, La Araucanía|SAN RAFAEL|PADRE LAS CASAS|LA ARAUCANIA
444|LAJA, 0.190, TEMUCO, La Araucanía|LAJA|TEMUCO|LA ARAUCANIA
445|AVENIDA MAYOQUITO , 1816, PENAFLOR, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|PENAFLOR|METROPOLITANA DE SANTIAGO
446|LOS FRANCECES , 714, SANTIAGO, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|SANTIAGO|METROPOLITANA DE SANTIAGO
447|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1435, 34100359, TEMUCO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
448|MANUEL MONTT, 2313, 34100359, DIEGO DE ALMAGRO, Atacama|MANUEL MONTT|DIEGO DE ALMAGRO|ATACAMA
449|PASAJE ARTURO PRAT, 9, TALAGANTE, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|TALAGANTE|METROPOLITANA DE SANTIAGO
450|AVENIDA ARTURO PRAT, 444, TEMUCO, La Araucanía|AVENIDA ARTURO PRAT|TEMUCO|LA ARAUCANIA
451|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1493, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
452|CAMINO A AGUA FRIA, 1260, 32102660, MOLINA, Maule|CAMINO A AGUA FRIA|MOLINA|MAULE
453|DIAGONAL BIO BIO   SAN BELARIO , 759, SAN PEDRO DE LA PAZ, Biobío|DIRECCIÓN DESCONOCIDA|SAN PEDRO DE LA PAZ|BIO BIO
454|PASAJE SAN JOSE, 1520, NUEVA IMPERIAL, La Araucanía|PASAJE SAN JOSE|NUEVA IMPERIAL|LA ARAUCANIA
455|SAN CRISTOBAL, 776,  POBLACION LIBERTAD, ANTOFAGASTA, Antofagasta|SAN CRISTOBAL|ANTOFAGASTA|ANTOFAGASTA
456|AUGUSTO DHALMAR, 734, 700306, OVALLE, Coquimbo|AUGUSTO DHALMAR|OVALLE|COQUIMBO
457|SAN FRANCISCO, 228, 1302492, SANTIAGO, Metropolitana de Santiago|SAN FRANCISCO|SANTIAGO|METROPOLITANA DE SANTIAGO
458|AFGANISTAN, 11, ALTO HOSPICIO, Tarapacá|AFGANISTAN|ALTO HOSPICIO|TARAPACA
459|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1465, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
460|AFGANISTAN, 10, ALTO HOSPICIO, Tarapacá|AFGANISTAN|ALTO HOSPICIO|TARAPACA
461|WADDINGTON, 478, VALPARAISO, Valparaíso|WADDINGTON|VALPARAISO|VALPARAISO
462|ACONCAGUA, 1007, PUERTO VARAS, Los Lagos|ACONCAGUA|PUERTO VARAS|LOS LAGOS
463|MERCED, 606, MELIPILLA, Metropolitana de Santiago|MERCED|MELIPILLA|METROPOLITANA DE SANTIAGO
464|LOS BOLDOS, 182, 32100328, LA FLORIDA, Metropolitana de Santiago|LOS BOLDOS|LA FLORIDA|METROPOLITANA DE SANTIAGO
465|OHIGGINS, 531, COPIAPO, Atacama|OHIGGINS|COPIAPO|ATACAMA
466|AVENIDA PROVIDENCIA, 119, PROVIDENCIA, Metropolitana de Santiago|AVENIDA PROVIDENCIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
467|ROLANDO PEREIRA, 2089, QUILPUE, Valparaíso|ROLANDO PEREIRA|QUILPUE|VALPARAISO
468|PASAJE RIO CHAMIZA, 983, CORONEL, Biobío|PASAJE RIO CHAMIZA|CORONEL|BIO BIO
469|LAS VERBENAS, 8801, LA FLORIDA, Metropolitana de Santiago|LAS VERBENAS|LA FLORIDA|METROPOLITANA DE SANTIAGO
470|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1435, 34100359, DONIHUE, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
471|SAN MATEO, 1472, SAN CARLOS, Ñuble|SAN MATEO|SAN CARLOS|NUBLE
472|LOS LUCUMOS, 0.1355-C, QUILLOTA, Valparaíso|LOS LUCUMOS|QUILLOTA|VALPARAISO
473|ALMIRANTE JUAN JOSE LATORRE, 1994, CALAMA, Antofagasta|ALMIRANTE JUAN JOSE LATORRE|CALAMA|ANTOFAGASTA
474|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1449, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
475|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1435, 34100359, QUILLOTA, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
476|ANTOFAGASTA, 320, COQUIMBO, Coquimbo|ANTOFAGASTA|COQUIMBO|COQUIMBO
477|LOS LIBERALES, 615, BUIN, Metropolitana de Santiago|LOS LIBERALES|BUIN|METROPOLITANA DE SANTIAGO
478|TEOFILO BELMAR, 6570, LO PRADO, Metropolitana de Santiago|TEOFILO BELMAR|LO PRADO|METROPOLITANA DE SANTIAGO
479|PASAJE PINTOR PEDRO LUNA, 2046, 4200581, QUILLOTA, Valparaíso|PASAJE PINTOR PEDRO LUNA|QUILLOTA|VALPARAISO
480|ALONSO DE ERCILLA, 1, COELEMU, Biobío|ALONSO DE ERCILLA|['MULCHEN', 'ARAUCO', 'LOTA', 'PENCO', 'CORONEL', 'CANETE']|BIO BIO
481|RIQUELME, 860, PUDAHUEL, Metropolitana de Santiago|RIQUELME|PUDAHUEL|METROPOLITANA DE SANTIAGO
482|PASAJE LOS NARANJOS, 50, SAN JAVIER, Maule|PASAJE LOS NARANJOS|SAN JAVIER|MAULE
483|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1435, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
484|LOS YAGANES, 3416, RENCA, Metropolitana de Santiago|LOS YAGANES|RENCA|METROPOLITANA DE SANTIAGO
485|PASAJE SANTIAGO VERA, 2124, CURACAVI, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|CURACAVI|METROPOLITANA DE SANTIAGO
486|MARTA BRUNET, 8956, PUDAHUEL, Metropolitana de Santiago|MARTA BRUNET|PUDAHUEL|METROPOLITANA DE SANTIAGO
487|AVENIDA PROVIDENCIA, 119, PROVIDENCIA, Metropolitana de Santiago|AVENIDA PROVIDENCIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
488|PASAJE BRUNILDA DAGUENE, 1873, PUERTO MONTT, Los Lagos|PASAJE BRUNILDA DAGUENE|PUERTO MONTT|LOS LAGOS
489|AVENIDA ANTONIO VARAS, 1362, 34400128, PROVIDENCIA, Metropolitana de Santiago|AVENIDA ANTONIO VARAS|PROVIDENCIA|METROPOLITANA DE SANTIAGO
490|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1493, 34100359, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
491|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1435, 34100359, NANCAGUA, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
492|AVENIDA INDEPENDENCIA, 326, PUENTE ALTO, Metropolitana de Santiago|AVENIDA INDEPENDENCIA|PUENTE ALTO|METROPOLITANA DE SANTIAGO
493|PASAJE EMA LANZ, 417, PUENTE ALTO, Metropolitana de Santiago|PASAJE EMA LANZ|PUENTE ALTO|METROPOLITANA DE SANTIAGO
494|PASAJE EMA LANZ, 417, PUENTE ALTO, Metropolitana de Santiago|PASAJE EMA LANZ|PUENTE ALTO|METROPOLITANA DE SANTIAGO
495|MARTINEZ DE ROZAS, 4449-C, QUINTA NORMAL, Metropolitana de Santiago|MARTINEZ DE ROZAS|QUINTA NORMAL|METROPOLITANA DE SANTIAGO
496|PASAJE LOS PENSAMIENTOS, 345, PURRANQUE, Los Lagos|PASAJE LOS PENSAMIENTOS|PURRANQUE|LOS LAGOS
497|CONFERENCIA, 1070-5, SANTIAGO, Metropolitana de Santiago|CONFERENCIA|SANTIAGO|METROPOLITANA DE SANTIAGO
498|PASAJE LLANCAHUE, 1382-S, EL BOSQUE, Metropolitana de Santiago|PASAJE LLANCAHUE|EL BOSQUE|METROPOLITANA DE SANTIAGO
499|SANTA ISABEL, 765, SANTIAGO, Metropolitana de Santiago|SANTA ISABEL|SANTIAGO|METROPOLITANA DE SANTIAGO
500|ESMERALDA, 118, 4300417, MELIPILLA, Metropolitana de Santiago|ESMERALDA|MELIPILLA|METROPOLITANA DE SANTIAGO
501|CALLE TRES Y MEDIO, 1780, 47020672, NUNOA, Metropolitana de Santiago|CALLE TRES Y MEDIO|NUNOA|METROPOLITANA DE SANTIAGO
502|CLAUDIO CARRASCO, 596, 34100528, PEMUCO, Ñuble|CLAUDIO CARRASCO|PEMUCO|NUBLE
503|ESCALA ECUADOR, 1181, 33200379, VINA DEL MAR, Valparaíso|ESCALA ECUADOR|VINA DEL MAR|VALPARAISO
504|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1493, 34100359, 4, SANTIAGO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|SANTIAGO|METROPOLITANA DE SANTIAGO
505|StreetName0, 1230, Depart0, Block0, 4, BaBarrio, Antofagasta|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ANTOFAGASTA
506|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
507|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
508|CRUZ DEL SUR, 1839, SAN RAMON, Metropolitana de Santiago|CRUZ DEL SUR|SAN RAMON|METROPOLITANA DE SANTIAGO
509|  LOS PRETILES , S/N, ANTOFAGASTA, Antofagasta|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|ANTOFAGASTA
510|PASAJE CARLOS GONZALEZ, 455, LA SERENA, Coquimbo|PASAJE CARLOS GONZALEZ|LA SERENA|COQUIMBO
511|PASAJE TRES, 2103, CONCEPCION, Biobío|PASAJE TRES|CONCEPCION|BIO BIO
512|AVENIDA EINSTEIN, 845, 34300680, RECOLETA, Metropolitana de Santiago|AVENIDA EINSTEIN|RECOLETA|METROPOLITANA DE SANTIAGO
513|PASEO HUERFANOS, 623, 34100232, SANTIAGO, Metropolitana de Santiago|PASEO HUERFANOS|SANTIAGO|METROPOLITANA DE SANTIAGO
514|ANTOFAGASTA, 337, LA LIGUA, Valparaíso|ANTOFAGASTA|LA LIGUA|VALPARAISO
515|PASAJE DEL TOPOGRAFO, 2972, PUENTE ALTO, Metropolitana de Santiago|PASAJE DEL TOPOGRAFO|PUENTE ALTO|METROPOLITANA DE SANTIAGO
516|GALVARINO, 109B, 500033, RANCAGUA, Valparaíso|DIRECCIÓN DESCONOCIDA|COMUNA DESCONOCIDA|VALPARAISO
517|SUSPIRO, 1318, ANTOFAGASTA, Antofagasta|SUSPIRO|ANTOFAGASTA|ANTOFAGASTA
518|CAMINO A VILLARRICA, 12, FREIRE, La Araucanía|CAMINO A VILLARRICA|FREIRE|LA ARAUCANIA
519|ANTONIO VARAS, 22, LLAILLAY, Valparaíso|ANTONIO VARAS|LLAILLAY|VALPARAISO
520|PASAJE RIO GUATULAME, 527, CORONEL, Biobío|PASAJE RIO GUATULAME|CORONEL|BIO BIO
521|AVENIDA FEDERICO SANTA MARIA, 2764, 33000990, VALPARAISO, Valparaíso|AVENIDA FEDERICO SANTA MARIA|VALPARAISO|VALPARAISO
522|EL QUILO, 5428, 33701733, QUINTA NORMAL, Metropolitana de Santiago|EL QUILO|QUINTA NORMAL|METROPOLITANA DE SANTIAGO
523|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
524|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
525|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
526|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
527|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
528|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
529|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
530|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
531|NUEVA FLORIDA, 411, PENAFLOR, Metropolitana de Santiago|NUEVA FLORIDA|PENAFLOR|METROPOLITANA DE SANTIAGO
532|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
533|MANUTARA, 10375, 10397, 32101862, LA FLORIDA, Metropolitana de Santiago|MANUTARA|LA FLORIDA|METROPOLITANA DE SANTIAGO
534|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
535|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
536|LA RAMUADA, 56, SAN FERNANDO, Lib. Gral. Bernardo O'Higgins|DIRECCIÓN DESCONOCIDA|SAN FERNANDO|LIBERTADOR GENERAL BERNARDO O HIGGINS
537|PASAJE CUATRO, 30, RIO BUENO, Los Ríos|PASAJE CUATRO|RIO BUENO|LOS RIOS
538|LAS HERAS, 221, 4700494, SAN FELIPE, Valparaíso|LAS HERAS|SAN FELIPE|VALPARAISO
539|ALVAREZ, 171, LO BARNECHEA, Metropolitana de Santiago|ALVAREZ|LO BARNECHEA|METROPOLITANA DE SANTIAGO
540|CUNCO, 17, PADRE LAS CASAS, La Araucanía|DIRECCIÓN DESCONOCIDA|PADRE LAS CASAS|LA ARAUCANIA
541|REGIDOR PEDRO PARRA AVELLO, 857, VALDIVIA, Los Ríos|REGIDOR PEDRO PARRA AVELLO|VALDIVIA|LOS RIOS
542|AVENIDA CERRILLOS, 702, CERRILLOS, Metropolitana de Santiago|AVENIDA CERRILLOS|CERRILLOS|METROPOLITANA DE SANTIAGO
543|AVENIDA MANQUEHUE SUR, 1022, LAS CONDES, Metropolitana de Santiago|AVENIDA MANQUEHUE SUR|LAS CONDES|METROPOLITANA DE SANTIAGO
544|ALCALDE FLORES, 2021, PEDRO AGUIRRE CERDA, Metropolitana de Santiago|ALCALDE FLORES|PEDRO AGUIRRE CERDA|METROPOLITANA DE SANTIAGO
545|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
546|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
547|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
548|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
549|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
550|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
551|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
552|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
553|ABATE MOLINA, 104, 33002876, PUENTE ALTO, Metropolitana de Santiago|ABATE MOLINA|PUENTE ALTO|METROPOLITANA DE SANTIAGO
554|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1483, 34100359, ARAUCO, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
555|LOS ALAMOS, 18, QUILLOTA, Valparaíso|LOS ALAMOS|QUILLOTA|VALPARAISO
556|AHUMADA, 93, SANTIAGO, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|SANTIAGO|METROPOLITANA DE SANTIAGO
557|MANUEL BULNES, 368, TEMUCO, La Araucanía|MANUEL BULNES|TEMUCO|LA ARAUCANIA
558|AVENIDA PROVIDENCIA, 129, 33200379, VITACURA, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|VITACURA|METROPOLITANA DE SANTIAGO
559|AVENIDA SUECIA, 1165, PROVIDENCIA, Metropolitana de Santiago|AVENIDA SUECIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
560|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
561|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
562|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
563|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1409, LOCAL 141B, 34100359, LA REINA, Metropolitana de Santiago|DIRECCIÓN DESCONOCIDA|LA REINA|METROPOLITANA DE SANTIAGO
564|AVENIDA PROVIDENCIA, 119, 31300311, PROVIDENCIA, Metropolitana de Santiago|AVENIDA PROVIDENCIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
565|AVENIDA INDEPENDENCIA, 326, PUENTE ALTO, Metropolitana de Santiago|AVENIDA INDEPENDENCIA|PUENTE ALTO|METROPOLITANA DE SANTIAGO
566|FRANCISCO PIZARRO, 1968, 1968, 34101202, SANTIAGO, Metropolitana de Santiago|FRANCISCO PIZARRO|SANTIAGO|METROPOLITANA DE SANTIAGO
567|MARCOS PEREZ, 146, PUENTE ALTO, Metropolitana de Santiago|MARCOS PEREZ|PUENTE ALTO|METROPOLITANA DE SANTIAGO
568|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
569|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
570|GREGORIO CORDOVEZ, 321, 2200725, LA SERENA, Coquimbo|GREGORIO CORDOVEZ|LA SERENA|COQUIMBO
571|ARTURO PRAT, 346, SAN VICENTE, Lib. Gral. Bernardo O'Higgins|ARTURO PRAT|SAN VICENTE|LIBERTADOR GENERAL BERNARDO O HIGGINS
572|MERCED, 606, 4300414, MELIPILLA, Metropolitana de Santiago|MERCED|MELIPILLA|METROPOLITANA DE SANTIAGO
573|AVENIDA CENTENARIO, 323, 3801094, SAN ANTONIO, Valparaíso|AVENIDA CENTENARIO|SAN ANTONIO|VALPARAISO
574|ALMIRANTE MANUEL BLANCO ENCALADA, 1289, VALPARAISO, Valparaíso|ALMIRANTE MANUEL BLANCO ENCALADA|VALPARAISO|VALPARAISO
575|PLUTON, 842, 34801084, CONCEPCION, Biobío|DIRECCIÓN DESCONOCIDA|CONCEPCION|BIO BIO
576|AVENIDA AMERICO VESPUCIO, 445, 33301561, PUDAHUEL, Metropolitana de Santiago|AVENIDA AMERICO VESPUCIO|PUDAHUEL|METROPOLITANA DE SANTIAGO
577|ARTURO PRAT, 589, CALERA, Valparaíso|ARTURO PRAT|CALERA|VALPARAISO
578|PASAJE FRESIA, 1281, 33300245, PUDAHUEL, Metropolitana de Santiago|PASAJE FRESIA|PUDAHUEL|METROPOLITANA DE SANTIAGO
579|ARTURO PRAT, 270B, 4700432, SAN FELIPE, Valparaíso|DIRECCIÓN DESCONOCIDA|SAN FELIPE|VALPARAISO
580|AVENIDA PEDRO MONTT, 1793, VALPARAISO, Valparaíso|AVENIDA PEDRO MONTT|VALPARAISO|VALPARAISO
581|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
582|SAN PEDRO, 172, PUENTE ALTO, Metropolitana de Santiago|SAN PEDRO|PUENTE ALTO|METROPOLITANA DE SANTIAGO
583|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
584|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
585|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
586|SAN MARTIN, 80, SANTIAGO, Metropolitana de Santiago|SAN MARTIN|SANTIAGO|METROPOLITANA DE SANTIAGO
587|AVENIDA INDEPENDENCIA, 326, PUENTE ALTO, Metropolitana de Santiago|AVENIDA INDEPENDENCIA|PUENTE ALTO|METROPOLITANA DE SANTIAGO
588|EL ROBLE, 6873, ANTOFAGASTA, Antofagasta|EL ROBLE|ANTOFAGASTA|ANTOFAGASTA
589|ROBERTO MUÑOZ/ENRIQUE BAISMAN, 359, TRAIGUEN, La Araucanía|DIRECCIÓN DESCONOCIDA|TRAIGUEN|LA ARAUCANIA
590|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
591|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
592|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
593|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
594|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
595|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
596|SEVILLA, 1735, INDEPENDENCIA, Metropolitana de Santiago|SEVILLA|INDEPENDENCIA|METROPOLITANA DE SANTIAGO
597|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
598|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
599|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
600|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
601|LOS TRES ANTONIOS, 1107, NUNOA, Metropolitana de Santiago|LOS TRES ANTONIOS|NUNOA|METROPOLITANA DE SANTIAGO
602|SEMINARIO, 385, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
603|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
604|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
605|LIBERTAD, 1060, SANTIAGO, Metropolitana de Santiago|LIBERTAD|SANTIAGO|METROPOLITANA DE SANTIAGO
606|NORMANDIA, 1965, PROVIDENCIA, Metropolitana de Santiago|NORMANDIA|PROVIDENCIA|METROPOLITANA DE SANTIAGO
607|SEMINARIO, 10, PROVIDENCIA, Metropolitana de Santiago|SEMINARIO|PROVIDENCIA|METROPOLITANA DE SANTIAGO
608|SERRANO, 741, MELIPILLA, Metropolitana de Santiago|SERRANO|MELIPILLA|METROPOLITANA DE SANTIAGO
609|AVENIDA LIBERTADOR BERNARDO OHIGGINS, 1479, 34100359, PUCON, Metropolitana de Santiago|AVENIDA LIBERTADOR BERNARDO OHIGGINS|['LO PRADO', 'ESTACION CENTRAL', 'SANTIAGO', 'TALAGANTE']|METROPOLITANA DE SANTIAGO
610|PASAJE HACER NELBUNDO, 430, GRANEROS, Lib. Gral. Bernardo O'Higgins|DIRECCIÓN DESCONOCIDA|GRANEROS|LIBERTADOR GENERAL BERNARDO O HIGGINS
